"Reference","Value","Datasheet","Footprint","Qty","Vender Part Number","Vendor url","digikey","Cost (ea.)","Notes"
"C1,C2,C3","1uF","~","TJR:C_Rect_L7.3mm_W4.5_H9.5mm_P5.0mmx","3","","","-- mixed values --","",""
"C4,C5,C6,C10,C11,C12,C16,C18","100uF","https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/ZLH.pdf","TJR:C_Radial_D5.00mm_H12.5mm_P2.00mm","8","","","https://www.digikey.com/en/products/detail/rubycon/16ZLH100MEFC5X11/3134106","",""
"C7,C8,C9,C13,C14,C15,C17,C19","0.1uF","~","TJR:C_Rect_L7.3mm_W2.5_H6.5mm_P5.0mm","8","","","-- mixed values --","",""
"D1,D2","LED","~","TSL:LED_D3.0mm","2","","","","",""
"J1","Motor Connector","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1","","","","",""
"J2","Screw_Terminal_01x06","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal","1","","","","",""
"Q1,Q2,Q3","2N3904","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","TJR:TO-92-3_Formed_Leads","3","","","","",""
"R1,R2,R3,R4,R7,R8,R9,R10,R11,R12,R13,R17","10k","https://www.seielect.com/catalog/sei-cf_cfm.pdf","TJR:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","12","","","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM12JT47R0/1741962","",""
"R5,R6","330","https://www.seielect.com/catalog/sei-cf_cfm.pdf","TJR:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","","","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM12JT47R0/1741962","",""
"R14,R16","5.1k","https://www.seielect.com/catalog/sei-cf_cfm.pdf","TJR:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","","","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM12JT47R0/1741962","",""
"R15","47k","https://www.seielect.com/catalog/sei-cf_cfm.pdf","TJR:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM12JT47R0/1741962","",""
"U1","Pico","","TJR:RPi_Pico_SMD_TH","1","","","","",""
"U2","OPA4197","http://www.ti.com/lit/ds/symlink/opa4197.pdf","TJR:D14_TEX","1","","","","",""
"U3","LM7810","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1","","","","",""
"U4","LM79L05","https://www.onsemi.com/pub/Collateral/MC78L06A-D.pdf","Package_TO_SOT_THT:TO-92_Inline","1","","","","",""
