"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","10","RNCP1206FTD1K30CT-ND","RNCP1206FTD1K30","RES 1.3K OHM 1% 1/2W 1206","","10","0","0.01700","0.17"
"2","10","3141-G160P03KICT-ND","G160P03KI","P-30V,-30A,RD(MAX)<16M@-10V,VTH-","","10","0","0.47300","4.73"
"3","10","3141-G20N03KCT-ND","G20N03K","N30V,RD(MAX)<20M@10V,RD(MAX)<24M","","10","0","0.50400","5.04"
"4","10","1514-CMHZ5225BTRPBFREECT-ND","CMHZ5225B TR PBFREE","DIODE ZENER 3V 500MW SOD123","","10","0","0.24300","2.43"
"5","10","3147-B1911USD-20D000114U1930CT-ND","B1911USD-20D000114U1930","LED RED DIFFUSED 0603 SMD","","10","0","0.04300","0.43"
"6","10","3147-B1911PG--20D000514U1930CT-ND","B1911PG--20D000514U1930","LED GREEN DIFFUSED 0603 SMD","","10","0","0.05000","0.50"
"7","10","1727-8643-1-ND","2N7002NXAKR","MOSFET N-CH 60V 190MA TO236AB","","10","0","0.08100","0.81"
"8","10","497-1181-1-ND","L78L05ABUTR","IC REG LINEAR 5V 100MA SOT89-3","","10","0","0.17200","1.72"
"9","10","497-7275-1-ND","L78L10ACUTR","IC REG LINEAR 10V 100MA SOT89-3","","10","0","0.34000","3.40"
"10","10","296-1191-1-ND","SN74HC08DR","IC GATE AND 4CH 2-INP 14SOIC","","10","0","0.13600","1.36"
"11","10","296-1194-1-ND","SN74HC14DR","IC INVERT SCHMITT 6CH 1IN 14SOIC","","10","0","0.12600","1.26"
"12","10","RMCF0805FT10K0CT-ND","RMCF0805FT10K0","RES 10K OHM 1% 1/8W 0805","","10","0","0.02500","0.25"
"13","10","RMCF0805JT6K80CT-ND","RMCF0805JT6K80","RES 6.8K OHM 5% 1/8W 0805","","10","0","0.02200","0.22"
"14","10","495-B32529C0105K189CT-ND","B32529C0105K189","CAP FILM 1UF 10% 63VDC RADIAL","","10","0","0.34900","3.49"
"15","10","493-2203-1-ND","UWT1V101MCL1GS","CAP ALUM 100UF 20% 35V SMD","","10","0","0.18400","1.84"
"16","10","4713-GMC21X7R104M50NTDCT-ND","GMC21X7R104M50NTD","CAP0805 X7R .1UF 20% 50V","","10","0","0.04000","0.40"
"17","10","475-LGR971-KN-1CT-ND","LG R971-KN-1-0-20-R18","LED GREEN DIFFUSED 0805 SMD","","10","0","0.10200","1.02"
"18","10","475-LSR976-NR-1CT-ND","LS R976-NR-1-0-20-R18","LED RED DIFFUSED 0805 SMD","","10","0","0.10200","1.02"
"19","10","S9337-ND","QPC02SXGN-RC","CONN JUMPER SHORTING .100"" GOLD","","10","0","0.03800","0.38"
"20","10","987-1014-1-ND","23BR10KLFTR","TRIMMER 10K OHM 0.25W GW TOP ADJ","","10","0","1.17800","11.78"
"21","10","RMCF0805FT1K00CT-ND","RMCF0805FT1K00","RES 1K OHM 1% 1/8W 0805","","10","0","0.02500","0.25"
"22","10","RMCF0805FT6K80CT-ND","RMCF0805FT6K80","RES 6.8K OHM 1% 1/8W 0805","","10","0","0.02500","0.25"
"23","10","738-RMEF0805FT5K10CT-ND","RMEF0805FT5K10","RES 5.1K OHM 1% 1/8W 0805","","10","0","0.04900","0.49"
"24","10","RMCF0805FT47K0CT-ND","RMCF0805FT47K0","RES 47K OHM 1% 1/8W 0805","","10","0","0.02500","0.25"
"25","10","RMCF0805FT330RCT-ND","RMCF0805FT330R","RES 330 OHM 1% 1/8W 0805","","10","0","0.02500","0.25"
"26","10","738-RMCF0805FG2K55CT-ND","RMCF0805FG2K55","RES 2.55K OHM 1% 1/8W 0805","","10","0","0.02500","0.25"
"27","10","RMCF0805FT820RCT-ND","RMCF0805FT820R","RES 820 OHM 1% 1/8W 0805","","10","0","0.02500","0.25"
